  0.57249666E-03  -0.99971373E+00  -0.19416733E+05
  0.30164303E-02  -0.99971373E+00  -0.21089227E+04
  0.74131710E-02  -0.99971373E+00  -0.81322480E+03
  0.13763552E-01  -0.99971373E+00  -0.43756499E+03
  0.22067486E-01  -0.99971373E+00  -0.26621633E+03
  0.32324732E-01  -0.99971373E+00  -0.17660121E+03
  0.44534965E-01  -0.99971373E+00  -0.12633554E+03
  0.58697790E-01  -0.99971373E+00  -0.93571480E+02
  0.74812750E-01  -0.99971373E+00  -0.71222181E+02
  0.92879319E-01  -0.99971373E+00  -0.55742450E+02
  0.11289691E+00  -0.99971373E+00  -0.44506804E+02
  0.13486487E+00  -0.99971373E+00  -0.36012259E+02
  0.15878249E+00  -0.99971373E+00  -0.29531652E+02
  0.18464898E+00  -0.99971373E+00  -0.24581125E+02
  0.21246351E+00  -0.99971373E+00  -0.20630848E+02
  0.24222516E+00  -0.99971373E+00  -0.17448880E+02
  0.27393297E+00  -0.99971373E+00  -0.14906114E+02
  0.30758592E+00  -0.99971373E+00  -0.12803470E+02
  0.34318289E+00  -0.99971373E+00  -0.11037659E+02
  0.38072273E+00  -0.99971373E+00  -0.95494142E+01
  0.42020422E+00  -0.99971373E+00  -0.82783453E+01
  0.46162607E+00  -0.99971373E+00  -0.71689904E+01
  0.50498694E+00  -0.99971373E+00  -0.61988516E+01
  0.55028540E+00  -0.99971373E+00  -0.53696032E+01
  0.59752000E+00  -0.99971373E+00  -0.46591422E+01
  0.64668918E+00  -0.99971373E+00  -0.40665636E+01
  0.69779135E+00  -0.99971373E+00  -0.35970571E+01
  0.75082484E+00  -0.99971373E+00  -0.32329307E+01
  0.80578793E+00  -0.99971373E+00  -0.29476938E+01
  0.86267882E+00  -0.99971373E+00  -0.27257829E+01
  0.92149566E+00  -0.99971373E+00  -0.25636375E+01
  0.98223655E+00  -0.99971373E+00  -0.24544402E+01
  0.10448995E+01  -0.99971373E+00  -0.23998791E+01
  0.11094824E+01  -0.99971373E+00  -0.24075838E+01
  0.11759833E+01  -0.99971373E+00  -0.24824910E+01
  0.12443999E+01  -0.99971373E+00  -0.26307110E+01
  0.13147301E+01  -0.99971373E+00  -0.28657094E+01
  0.13869715E+01  -0.99971373E+00  -0.32187116E+01
  0.14611217E+01  -0.99971373E+00  -0.37137000E+01
  0.15371784E+01  -0.99971373E+00  -0.44021879E+01
  0.16151391E+01  -0.99971373E+00  -0.53934902E+01
  0.16950013E+01  -0.99971373E+00  -0.68930353E+01
  0.17767623E+01  -0.99971373E+00  -0.92285791E+01
  0.18604194E+01  -0.99971373E+00  -0.12945088E+02
  0.19459701E+01  -0.99971373E+00  -0.19347071E+02
  0.20334114E+01  -0.99971373E+00  -0.32289312E+02
  0.21227405E+01  -0.99971373E+00  -0.68452551E+02
